Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab World,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (excluding high income),East Asia & Pacific (IDA & IBRD countries),Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (excluding high income),Europe & Central Asia (IDA & IBRD countries),European Union,Faroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People?s Rep.","Korea, Rep.",Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,Lower middle income,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Middle East & North Africa,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,Northern Mariana Islands,Norway,OECD members,Oman,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (IDA & IBRD countries),Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,World,"Yemen, Rep.",Zambia,Zimbabwe,Total
1990,0,0,0,0,0,0,0,0,0,0,0,0.585,0.13,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0.073,0.048,0,0,0.069,0,0,0.4,0,0.053,0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,0.018,0,0.02,0,0,0,0,0,0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,,0,0,0,0,0,0,0.334,0,0,0,0,0,0.743,0,0.707,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.272,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0.01,0,0,0,0,0,0,0,0,0,0,0.58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,0.785,0,0,0,0,0,0,0,0,0.05,0,0,0,6.808
1991,,,,,,,,,,,,1.097,0.259,,,,,,,0.02,,,,,,,0,0.003,,,,,0,,,,0.57,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,0.17,,,,0.172,,,1.4,,0.14,,,,,0.25,,,0.049,,0,,,,,,,,0.462,,0.121,0.003,,0.51,,,,,,,,,0.057,0.215,0.035,,0.04,,,,,,0.046,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0.006,,,,,,,,,,,,,,,0,0.531,,,,,,1.105,,1.407,0.43,,,,,,,,,,,0.005,0.1,0.496,,,,,,,,,,,,,,,0.162,,,,,,0.013,,,,0.03,,,,,,,,,,,1.16,1.2,0,,,0,,0,,,,,,,,,,,0.174,1.163,,,,,,,,,,,,,13.791
1992,,,,,,,,,0.003,,,1.769,0.643,,,,,,,0.1,,,,,,,,0.013,,,,,0,,,,0.916,,,,,,0.037,,,,,,0.001,,,,0.05,,0.39,,,,,,,,0.005,,,,,0.065,,0.326,0.263,,,0.31,,,1.89,,0.279,,,,,0.435,,,0.048,,0,,,,,,,,0.72,,0.85,0.048,,1.54,,,,,0,,,,0.17,0.311,0.07,,0.097,,,,,,0.098,,,,,0.014,0.013,0.014,,,,,,,,,,,,0.153,,,,,0.001,0,,,0,,,0.017,,,,,,,,,,,,,,,0,1.32,,0.29,,,,1.645,,2.216,0.67,,,,,,,,,,,0.052,0.25,0.777,,,,,0.001,,,,,,,,,,0.471,,,,,,0.039,0,0,,0.08,,,,,,,,,,,1.5,1.8,0,,,0,,0,,,,,,,,,,,0.261,1.724,,,,,0.012,,,,,,,,24.767
1993,,,,,,,,,0.03,,,1.975,0.765,,,,,,,0.199,,,,,,,,0.025,,,0.002,,0,,,,1.185,,0,,0.149,,0.072,0,,,,,0.082,,0.097,,0.056,0.58,0.58,,,,,0.079,0.001,0.001,0.016,0.001,,,0,0.301,,0.469,0.318,0.009,0.024,0.434,,0.007,2.57,,0.591,,,,,0.464,,,0.191,,0,,,,,,,,0.999,,1.335,0.193,0.008,2.67,,,,,0,,,,0.281,0.399,0.122,,0.401,,,,,,0.25,0.091,,,0.01,0.03,0.028,0.03,,,,,,,,,,,,0.302,,,,,0.026,0,,,0,,,0.028,,,,,0.006,,,,,,,,,,0,1.967,,0.63,,,,2.165,,2.784,0.88,,,,,,,,,,,0.13,0.45,1.01,,,,0.004,0.013,,,,,,,,,0,0.763,0.128,0.41,,,,0.114,0,0,,0.13,,,,,,,,,,,1.72,2.2,0,,,0.014,,0,,,,0.008,,,,,0.001,,0.52,2.272,0.009,,,,0.042,,,,0.254,,,,37.1
1994,,,0,,,,,,0.044,0.009,,2.232,1.393,0.001,,,,,0,0.696,,,,,,,,0.038,,,0.02,,0,,,,2.379,,0,,0.389,,0.141,0.001,0.107,,,,0.28,,0.268,,0.111,1.26,1.34,,,,0.015,0.117,0.004,0.004,0.035,0.006,,,0,1.16,,0.848,0.565,0.038,0.077,0.827,,0.008,4.92,,0.9,,,,,0.923,,,0.378,0.065,0,0.35,,0,,,,,1.999,,2.784,0.484,0.019,6.79,0.019,,,,0.001,0.001,0,,0.558,0.577,0.192,0.037,0.8,,0.001,,,,0.311,0.147,,,0.028,0.05,0.047,0.05,,,,,,,,,0.014,,0.002,0.496,0.037,,,,0.1,0,,,0,,,0.043,,,0.003,0.003,0.014,0.001,,,,,,,,,0,3.257,,3.17,0.013,,,4.618,,4.152,1.78,,,,,,0.008,,,0.009,0.006,0.389,0.72,2.013,,0.027,,0.026,0.054,,,,,,,,,0,1.185,0.319,1.07,,,,0.247,0.001,0.001,,0.28,0.003,,,,,,,0,,,3.41,2.7,0,,,0.039,,0,,,0.007,0.05,,,,,0.014,,1.037,4.863,0.022,0.062,,,0.055,,0.94,,0.45,,0.007,0.002,74.563
1995,,0.011,0.002,,,,2.201,0.017,0.086,0.053,,2.76,1.89,0.002,0.96,0.346,,0.008,0.003,0.992,0.045,,6.838,,0.067,,0.065,0.105,,1.017,0.12,,0,,,,4.164,0.194,3.949,,0.622,,0.347,0.005,0.188,,,,0.417,0,0.514,0,0.41,1.45,3.83,0.016,0.55,0.017,0.045,0.21,0.013,0.013,0.044,0.031,,,0,2.779,0,1.702,1.024,0.089,0.147,1.582,0,0.009,13.9,,1.638,,,0.009,0.01,1.838,0,,0.75,0.054,0,0.66,0.003,0.001,,,,,3.666,0.037,3.219,0.677,0.052,11.22,0.046,,,,0.026,0.026,0.004,,1.108,0.93,0.524,0.109,1.594,0.023,0.011,0.001,,,0.82,0.203,,,0.06,0.11,0.099,0.111,,,0.072,,,,,,0.038,,0.022,1.591,0.28,0.041,,,0.146,0,,0.225,0,,,0.103,,0.037,0.013,0.013,0.04,0.003,,0.009,,0.004,,,0.006,,0.001,6.473,0.005,4.88,0.03,,,8.737,,6.423,3.35,,,0.022,0,,0.056,,,0.033,0.029,0.648,1.49,3.75,,0.135,0.19,0.075,0.148,,,1.362,,0.011,0.001,,,0,2.873,0.523,2.9,,0.025,0,0.677,0.022,0.022,,0.38,0.005,,0.306,0.129,,,,0,0.115,0.001,5.1,3.6,0,,,0.075,,0,0.123,0.158,0.011,0.082,,,,0.003,0.043,0.1,1.895,9.237,0.053,0.31,0.002,,0.122,,2.8,,0.782,,0.009,0.008,158.471
1996,,0.032,0.002,,1.53,0.001,2.858,0.038,0.142,0.095,2.8,3.275,6.909,0.006,1.75,0.843,,0.389,0.029,2.968,0.883,0.002,16.202,,0.196,0.015,0.157,0.451,,3.303,0.725,0.001,0.001,,,,6.76,0.554,,0.006,1.068,,0.683,0.013,0.33,,0,0.004,0.841,0.008,0.859,0.032,0.673,1.94,5.71,0.031,1.17,0.075,0.081,0.465,0.034,0.034,0.086,0.061,0.09,,0,3.525,0.002,2.881,1.843,0.189,0.3,2.806,2.32,0.064,16.78,,2.584,0.091,0,0.036,0.04,3.055,0.006,,1.395,1.797,0.3,1.36,0.02,0.002,,0.066,0.007,0.009,6.675,0.044,4.749,0.969,0.113,14.81,0.093,0.012,,0.008,0.046,0.057,0.016,,2.199,2.168,1.023,0.591,4.373,0.045,0.032,0.009,,,1.624,0.856,,,0.141,0.309,0.284,0.313,0.813,,0.14,0.003,,,,0.28,0.079,0.003,0.039,5.552,0.727,0.076,0.004,,0.852,0.227,0.002,1.052,0.037,,0.18,0.2,0.278,0.084,0.026,0.026,0.084,0.005,,0.018,,0.006,0.003,,0.009,,0.005,9.649,0.253,8.04,0.084,0.001,0.009,15.469,,18.25,6.11,0,0.86,0.131,0.003,,0.22,0.002,0.02,0.246,0.056,1.295,2.98,6.826,0.005,0.268,0.93,0.222,0.27,0.001,,1.428,,0.027,0.011,,0.651,0.003,8.35,0.783,5.07,0.723,0.269,0.002,0.842,0.041,0.041,,1.33,0.054,1.95,0.67,0.483,0.069,0.069,0.069,0,0.226,0.05,9.04,4.5,0,,0.002,0.115,,0.011,0.164,0.393,0.028,0.193,,,,0.005,0.099,0.38,4.124,16.419,0.124,1.847,0.004,0.057,0.248,0,4.65,,1.334,0.001,0.009,0.017,300.233
1997,,0.049,0.01,,3.05,0.006,3.481,0.131,0.28,0.112,,16.369,9.534,0.025,1.36,1.646,0.001,0.783,0.049,4.938,1.289,0.025,24.189,,0.448,0.059,0.308,0.786,,4.831,1.22,0.019,0.008,0.241,0.006,0.007,15.072,0.905,,0.014,1.79,0.001,1.057,0.032,0.551,0,0,0.003,1.64,0.019,1.73,0.068,4.378,2.92,11.38,0.083,,0.143,0.163,1.08,0.094,0.095,0.11,0.09,0.26,0.041,0.009,5.706,0.005,5.109,3.361,0.361,0.537,5.12,4.6,0.223,19.46,0.036,4.255,0.214,0.048,0.051,0.06,6.711,0.028,2.663,1.85,7.955,0.99,2.34,0.095,0.004,0.016,0.132,,0.024,10.53,0.171,10.519,1.942,0.223,27.48,0.18,0.035,0.015,0.023,0.071,0.195,0.047,,4.088,4.399,2.277,0.798,9.163,0.599,0.065,0.034,,0,3.601,2.175,,,0.27,0.61,0.566,0.614,2.053,0.009,1.241,0.006,0.004,,,0.98,0.156,0.011,0.074,7.143,2.364,0.504,0.014,0.005,2.307,0.309,0.01,3.921,,0.004,0.48,0.627,0.571,0.228,0.074,0.074,0.168,0.028,,0.113,,0.022,0.012,,0.059,,0.022,14.066,0.989,14.6,0.206,0.002,0.017,20.975,,20.418,9.56,0.44,1.52,0.285,0.028,,0.539,0.101,0.1,0.403,0.137,2.073,4.95,10.684,0.014,1.332,3.084,0.445,0.473,0.002,0.175,1.419,,0.052,0.027,,1.283,0.005,13.472,1.173,7.59,1.288,0.392,0.003,1.632,0.06,0.06,,2.8,0.162,2.26,0.992,0.926,0.129,0.129,0.129,0.001,1.003,0.089,23.73,15.1,0.033,,0.008,0.361,,0.211,0.511,1.173,0.044,0.474,,,,0.01,0.199,3.3,7.385,21.616,0.258,3.363,0.011,0.14,0.391,0.004,6.95,,2.053,0.015,0.009,0.033,527.301
1998,,0.065,0.02,,6.89,0.018,4.072,0.262,0.831,0.129,,30.813,15.421,0.037,2.34,3.218,0.004,1.97,0.074,7.887,2.092,0.048,32.104,,0.626,0.144,0.602,1.478,,6.285,1.845,0.045,0.016,0.473,0.016,0.013,24.897,1.944,,0.028,3.512,0.004,1.662,0.169,1.126,0.038,0,0.003,2.666,0.061,3.273,0.227,8.891,3.9,22.67,0.095,2.93,0.234,0.344,1.883,0.324,0.328,0.125,0.148,0.43,0.094,0.009,10.796,0.01,8.018,5.437,0.676,1.021,8.422,11.34,0.633,25.45,0.077,6.32,1.316,0.17,0.206,0.1,9.878,0.032,4.184,3.222,14.654,1.48,4.5,0.467,0.006,0.024,0.264,0.024,0.044,15.813,0.301,14.546,3.895,0.506,36.26,0.403,0.061,0.031,0.043,0.139,0.255,0.1,,8.096,10.307,4.559,1.979,13.414,1.306,0.131,0.05,0.62,0,6.782,3.052,0.073,0.01,0.631,1.23,1.159,1.239,3.315,0.021,2.722,0.011,0.004,,,1.97,0.359,0.028,0.159,11.746,7.003,1.003,0.063,0.018,6.752,0.57,0.02,6.501,,0.041,2.57,1.266,1.859,0.487,0.158,0.158,0.387,0.261,,0.146,,0.142,0.02,,0.287,,0.064,22.244,1.936,31.64,0.304,0.003,0.025,29.586,,22.56,14.31,0.86,2.62,0.612,0.044,,2.751,0.235,0.195,1.19,1.103,4.102,9.87,15.922,0.028,2.648,3.52,2.238,0.813,0.012,0.23,1.409,0.3,0.101,0.08,,2.526,0.015,19.591,2.69,10.1,2.315,0.508,0.007,2.906,0.117,0.117,,4.36,0.296,3.34,1.305,1.854,0.234,0.234,0.234,0.005,1.67,0.096,33.47,24.8,0.064,,0.009,1.091,,0.306,0.765,2.725,0.108,0.699,,,,0.065,0.301,6.91,13.67,30.093,0.609,6.987,0.021,0.274,1.384,0.013,9.25,,3.157,0.023,0.03,0.082,862.643
1999,,0.081,0.2,,7.64,0.072,5.301,0.599,3.284,0.971,4.5,40.784,23.044,0.099,3.76,4.72,0.036,2.376,0.495,13.772,4.077,0.155,39.948,0.14,0.982,0.194,1.122,2.039,,7.671,2.908,0.062,0.039,1.16,0.032,0.129,36.186,3.379,,0.041,4.959,0.012,4.103,0.708,1.698,0.148,0.001,0.017,3.904,0.119,4.405,0.315,11.342,6.83,30.59,0.106,2.93,1.105,0.613,3.406,0.853,0.864,0.823,0.29,0.85,0.097,0.025,14.501,0.013,15.238,9.245,1.104,1.53,14.583,22.3,0.942,32.3,0.134,9.125,3.449,0.249,0.716,0.42,20.846,0.105,5.937,6.877,21.603,2.47,8.5,0.593,0.061,0.118,3.966,0.071,0.106,22.826,0.574,21.231,5.858,0.992,41.29,0.782,0.118,0.077,0.092,0.273,0.444,0.379,,10.934,13.436,14.378,2.356,21.391,2.527,0.464,0.114,1.21,0,23.552,4.756,0.205,0.038,1.268,2.052,1.897,2.063,4.387,0.057,5.377,0.054,0.011,0.134,,2.92,0.72,0.072,0.277,17.388,9.212,1.497,0.169,0.087,12.306,1.12,0.061,7.76,0.966,0.118,4.65,1.857,2.798,0.919,0.417,0.417,0.775,0.601,,0.508,,0.176,0.056,0,0.336,,0.147,39.176,5.688,41.49,0.498,0.028,0.041,35.882,,40,20.66,2.52,3.45,0.871,0.055,,3.837,0.667,0.382,1.952,1.432,5.456,14.74,22.943,0.073,5.266,4.071,2.698,1.019,0.067,0.285,42.803,0.36,0.494,0.311,,6.229,0.048,24.155,5.438,12.61,3.253,0.495,0.014,4.116,0.226,0.226,,7.09,0.348,4.4,1.932,2.782,0.36,0.359,0.36,0.009,1.892,0.471,41.43,34,0.124,0.03,0.075,2.426,,0.59,1.018,5.814,1.602,2.292,0.045,,,0.106,0.405,14.94,21.294,35.849,1.272,9.973,0.031,0.538,2.84,0.129,11.07,,4.654,0.057,0.147,0.162,1335.081
2000,,0.114,0.492,,10.54,0.105,6.482,1.14,7.039,1.3,15.4,46.756,33.73,0.148,8,6.154,0.071,3.974,1.86,29.432,5.964,0.225,42.95,0.4,1.443,1.083,2.903,2.871,,8.996,5.371,0.077,0.077,1.822,0.047,0.252,51.3,4.941,,0.053,7.038,0.036,16.6,1.776,2.208,0.272,0.006,0.026,5.8,0.231,6.645,0.541,15.255,9.78,39.17,0.195,8.81,3.705,1.239,5.593,1.897,1.922,1.462,0.641,1.18,0.132,0.137,28.577,0.015,22.519,13.185,1.97,2.497,20.557,32.92,1.497,37.25,0.266,14.308,6.357,1.216,0.922,0.48,30.216,0.154,19.132,9.139,31.748,4.06,16.11,0.712,0.095,0.23,6.611,0.231,0.173,30.586,1.204,27.828,7,1.919,44.47,1.567,0.299,0.148,0.194,0.528,0.926,0.934,,17.85,20.874,23.111,3.116,29.991,2.623,0.669,0.318,1.79,0,44.7,6.731,1.041,0.111,2.472,3.904,3.401,3.922,6.319,0.099,7.953,0.212,0.018,0.187,36.515,6.43,1.45,0.114,0.558,22.887,13.609,2.486,0.196,0.127,21.385,2.204,0.143,13.114,1.534,0.192,7.28,5.081,3.735,1.693,0.842,0.839,1.57,1.283,42.185,1.256,,0.694,0.11,,1.645,,0.205,43.984,13.94,47.38,0.98,0.036,0.064,43.879,,52,27.88,3.52,5.52,1.458,,,6.555,0.835,0.748,3.076,1.982,7.285,16.43,30.572,0.123,10.475,4.864,3.614,1.977,0.063,0.566,48.799,4.64,2.211,0.404,,7.396,0.118,36,9.427,15.11,5.103,0.481,0.02,5.349,0.474,0.474,,13.62,0.647,5.86,5.09,3.245,0.501,0.5,0.501,0.026,2.506,0.926,45.69,47.1,0.182,0.05,0.117,3.689,,0.8,2.434,7.721,2.751,3.762,0.133,,5.2,0.164,0.716,23.63,26.822,43.079,2.505,10.539,0.484,2.108,3.36,0.254,13.82,1.111,6.77,0.083,0.191,0.401,1984.233
2001,0.005,0.326,0.646,,,0.136,8.899,1.561,9.781,1.631,17.1,52.689,39.185,0.306,11.8,15.039,0.13,11.936,4.301,31.288,,0.363,47.51,0.86,2.12,1.201,3.431,4.528,,12.918,7.612,0.158,0.106,2.685,0.077,0.277,60.2,8.358,,0.079,10.215,0.046,19.1,2.64,2.854,0.443,0.011,0.032,9.559,0.396,11.559,1.08,18.819,14.7,42.96,0.344,13.25,4.429,1.695,7.252,2.779,2.814,2.67,0.839,1.5,0.165,0.158,31.527,0.037,27.345,16.406,2.878,3.599,25.3,43.25,1.858,43.11,0.257,26.326,6.252,1.348,1.337,0.99,31.651,0.2,21.171,10.935,35.464,5.13,25.38,1.738,0.176,0.3,13.207,0.341,0.258,36.648,1.415,38.671,14.529,2.741,49.39,2.198,0.864,0.228,0.463,0.66,2.019,1.484,0.1,23.139,17.379,27.222,3.863,38.532,4.706,1.006,0.62,2.34,0,56.6,8.552,3.003,0.182,3.562,5.651,5.089,5.665,7.219,0.145,6.783,0.261,0.034,0.367,45.117,7.18,2.058,0.173,0.871,36.163,22.521,3.468,0.223,0.164,26.696,3.617,0.186,17.878,1.707,0.261,8.78,7.038,4.661,2.077,1.141,1.133,2.23,1.488,46.646,1.653,,1.371,0.16,0,2.417,2.99,0.24,49.373,18.237,53.24,1.449,0.105,0.09,50.162,,64,33.4,5.89,6.81,1.861,1.319,,7.268,0.904,1.099,7.579,2.524,9.901,18.09,36.653,0.187,15.63,6.17,4.539,2.944,0.241,1.69,50.342,6.31,4.681,0.984,,11.015,0.16,41.67,12.528,30.18,6.81,0.469,0.079,6.347,0.664,0.664,,18.15,0.794,7.71,8.182,5.095,0.642,0.641,0.642,0.14,3.064,1.282,51.77,55.1,0.354,0.05,0.171,5.556,,0.9,2.825,15.385,4.298,5.189,0.175,,,0.238,1.239,26.27,33.481,49.081,3.599,11.121,0.598,2.831,4.636,1.266,18.38,1.837,8.096,0.091,0.233,0.8,2461.13
2002,0.005,0.39,1.592,,11.26,0.27,12.5,2.693,10.882,1.96,18.8,,36.56,5,18,18.051,0.14,27.836,8.951,46.33,5.684,0.703,52.032,1.68,3.117,2.648,3.386,9.149,18.9,15.33,9.08,0.201,0.118,3.519,0.227,0.361,61.593,11.822,,0.129,18.194,0.166,22.1,4.596,4.6,0.555,0.093,0.157,19.895,0.498,17.76,3.771,28.32,23.93,64.25,0.487,18.42,6.824,2.848,8.994,4.405,4.461,4.261,2.72,1.9,0.321,0.227,41.52,0.072,35.186,23.059,5.01,6.591,35.14,53.3,6.153,62.43,0.534,30.18,8.2,1.94,1.797,1.59,48.82,0.83,23.67,14.67,44.155,14.76,31.19,3.392,0.402,1.023,,0.893,0.395,45.108,2.597,43.082,16.67,4.59,79.12,3.681,1.54,0.386,0.812,1.538,2.134,4.626,0.5,25.85,17.765,28.04,6.1,46.594,6.026,1.675,1.208,2.5,0,59.4,10.249,2.999,0.268,5.916,8.887,8.345,8.913,21.94,0.236,7,1.084,0.033,2.244,59.471,17.69,3.457,0.258,1.602,39.84,25.172,17.33,0.34,0.215,32.338,5.348,0.227,28.92,2.335,0.363,10.25,11.9,5.57,3.757,2.817,2.813,3.753,3.787,48.047,2.04,,2.373,0.26,0,2.634,,0.313,61.29,22.39,59.08,1.715,0.127,0.32,59.057,,72.84,41.52,6.87,8.87,3.996,2.577,20.24,8.518,1.322,1.795,8.967,4.332,21.15,19.37,44.716,0.364,17.548,10.226,6.58,4.128,0.293,2.245,50.835,7.58,6.385,1.006,,14.304,0.176,47,40.14,27.84,9.128,0.502,0.116,6.71,1.463,1.463,,20.39,1.05,21.15,14.642,5.55,0.829,0.828,0.829,0.439,4.162,1.816,70.57,61.4,2.093,0.06,0.222,7.531,0,1,2.907,21.999,5.253,11.38,0.302,,,0.384,1.874,28.32,56.48,58.785,5.939,11.419,1.082,3.51,4.91,1.855,27.49,3.1,10.581,0.519,0.478,1.1,3198.752
